Rooms,Area,Floor_Number,Total_Floors,Construction_Year,Is_First_Floor,Is_Last_Floor,Has_Garage,Is_Closed_Complex,District_Encoded,Construction_Type_Encoded,ext_has_gas,ext_has_tep,ext_is_luxury,ext_is_act16,Price
2,57,3,6,2027,0,0,1,0,26,5,0.0,0.0,0.0,1.0,115224
2,56,3,4,1970,0,0,1,0,31,5,0.0,0.0,0.0,0.0,198900
2,141,5,5,2024,0,1,1,1,21,5,1.0,0.0,1.0,0.0,250000
2,75,8,8,2026,0,1,1,0,27,5,0.0,0.0,1.0,0.0,200750
2,67,2,5,2015,0,0,1,0,29,5,0.0,1.0,1.0,0.0,369000
2,83,4,5,2021,0,0,1,0,22,5,0.0,0.0,1.0,0.0,288900
2,60,3,6,2011,0,0,1,0,26,5,0.0,0.0,0.0,0.0,198000
2,48,7,9,1980,0,0,1,0,21,4,0.0,1.0,0.0,0.0,159950
2,71,8,14,2027,0,0,1,1,27,5,0.0,0.0,1.0,1.0,163990
2,45,9,9,1980,0,1,1,0,21,4,0.0,0.0,1.0,0.0,139900
2,64,4,4,1970,0,1,1,0,23,5,0.0,0.0,0.0,0.0,158000
2,71,5,15,2026,0,0,1,1,27,5,0.0,0.0,1.0,0.0,165000
2,70,6,6,2026,0,1,1,0,22,5,0.0,0.0,0.0,0.0,157073
2,71,7,9,2028,0,0,1,1,33,5,0.0,0.0,0.0,0.0,165000
2,65,3,8,2015,0,0,1,0,21,5,0.0,0.0,0.0,0.0,199500
2,43,7,7,2009,0,1,1,0,26,5,1.0,0.0,0.0,0.0,125000
2,61,3,6,2016,0,0,1,0,33,5,1.0,0.0,0.0,0.0,183000
2,42,7,8,1970,0,0,1,0,22,4,1.0,0.0,0.0,0.0,129990
2,69,5,10,1980,0,0,1,0,32,5,1.0,1.0,0.0,0.0,160000
2,59,1,6,2026,1,0,1,0,26,5,1.0,0.0,0.0,0.0,117645
2,57,1,5,2026,1,0,1,0,26,5,1.0,0.0,0.0,0.0,115198
2,62,2,5,2025,0,0,1,0,20,5,1.0,0.0,0.0,0.0,199000
2,70,13,15,1980,0,0,1,0,24,1,1.0,1.0,0.0,0.0,148000
2,59,5,8,1970,0,0,1,0,24,5,1.0,0.0,0.0,0.0,119990
2,69,3,10,2025,0,0,1,0,29,5,0.0,1.0,0.0,0.0,289800
2,84,3,6,2027,0,0,1,0,27,5,1.0,1.0,0.0,0.0,220974
2,65,3,8,2027,0,0,1,0,27,5,0.0,0.0,1.0,0.0,195000
2,80,14,14,2028,0,1,1,0,26,5,0.0,0.0,0.0,1.0,195000
2,65,4,15,2025,0,0,1,1,27,5,0.0,1.0,0.0,0.0,170900
2,80,4,7,2025,0,0,1,0,25,5,0.0,0.0,0.0,0.0,185100
2,76,2,14,2027,0,0,1,0,26,5,0.0,1.0,1.0,0.0,133300
2,63,4,5,2026,0,0,1,0,39,5,1.0,0.0,1.0,1.0,200000
2,65,4,8,1970,0,0,1,0,36,5,0.0,0.0,0.0,0.0,170000
2,75,3,6,2026,0,0,1,0,39,5,1.0,0.0,1.0,0.0,174000
